bacru,ba'u
badri,dri
bajra,baj
bakfu,baf
bakni,bak
balre,ba'e
balvi,bav
bancu,bac
bandu,bad
bangu,ban,bau
banli,ba'i,bal
banro,ba'o
banxa,bax
banzu,baz
bapli,bap,bai
barda,bra
bargu,bag
barna,ba'a
bartu,bar
basti,bas
batci,bat
bebna,beb
bemro,be'o,bem
bende,bed,be'e
bengo,beg
benji,be'i,bej
bersa,bes,be'a
berti,ber
besna,ben
betfu,be'u,bef
betri,bet
bevri,bev,bei
bi,biv
bi'i,biz
bifce,bic
bikla,bik
bilga,big
bilma,bi'a
bilni,bil
bindo,bid
binxo,bix,bi'o
birka,bir
birti,bit
bisli,bis
bitmu,bim,bi'u
blabi,lab
blanu,bla
bliku,bli
bloti,blo,lo'i,lot
bo,bor
bolci,boi,bol
bongu,bog,bo'u
botpi,bo'i,bot
boxfo,bof,bo'o
boxna,bo'a,bon
brazo,raz
bredi,red,bre
bridi,bri
brife,bi'e,bif
briju,bij
brito,rit
broda,rod
brode,bo'e
bruna,bu'a,bun
bu,bu'i,bus
bu'a,bul
budjo,buj,bu'o
bukpu,buk,bu'u
bumru,bum
bunda,bud
bunre,bu'e,bur
burcu,bru
ca'a,caz
cabna,cab
cabra,ca'a
cadzu,dzu
cafne,caf
calku,cak
cando,cad
cange,cag
canja,caj
canko,ca'o
canlu,ca'u,cal
canpa,cna
canre,can
carmi,cai,cam
carna,car
cartu,cat
carvi,cav
casnu,snu
catke,ca'e
catlu,cta
catni,ca'i
caxno,cax
ce,cec
ce'i,cez
ce'o,ce'o
cecla,cel,ce'a
cecmu,ce'u,cem
cenba,cne
censa,ces
centi,cen
cerda,ced
cerni,cer
certu,cre
cevni,cev,cei
cfari,cfa
cfika,fi'a,fik
cfila,cfi
cfipu,fi'u
ci,cib
ciblu,blu
cidja,dja
cidni,cid
cidro,dro
cifnu,cif
cigla,cig
cikna,cik
ciksi,cki
cilce,cic
cilmo,cim
cilre,cli
cilta,cil
cinje,cij
cinmo,cni
cinri,ci'i
cinse,cin
cipni,cpi
cipra,cip
cirko,cri
ciska,ci'a
ciste,ci'e
citka,cti
citno,cit,ci'o
citri,cir
civla,civ
cizra,ciz
ckafi,kaf
ckaji,kai
ckana,cka
ckape,cap
ckasu,cas
ckeji,cke,kej
ckiku,kik
ckilu,ci'u
ckini,ki'i
ckire,kir
ckule,cu'e,kul
ckunu,ku'u
cladu,lau
clani,cla
claxu,cau
clira,lir
clite,lit
cliva,li'a,liv
clupa,cup
cmalu,cma
cmana,ma'a
cmavo,ma'o
cmene,me'e,cme
cmila,mi'a
cmima,cmi,mim
cmoni,cmo,co'i
cnano,na'o
cnebo,ne'o,neb
cnemu,ne'u,nem
cnici,nic
cnino,nin,ni'o
cnisa,nis
cnita,ni'a,nit
co,col
co'a,co'a
co'e,co'e,com
co'u,co'u
cokcu,cko
condi,coi,con,cno
*corci,coc
cortu,cor,cro
cpacu,cpa
cpare,par
cpedu,cpe
crane,cra
creka,cek
crepu,rep
cribe,rib
crida,rid
crino,ri'o
cripu,rip
crisa,cis
ctebi,teb
cteki,ce'i,tek
ctino,ti'o
ctuca,ctu
cukla,cuk
cukta,cku
culno,clu
cumki,cu'i,cum
cumla,cul
cunso,cun,cu'o
cuntu,cu'u
cupra,pra
curmi,cru
curnu,cur
curve,cuv
cusku,sku,cus
cutci,cuc
cutne,cut
cuxna,cux,cu'a
da,dav,dza
da'a,daz
dacru,dac
dacti,dai
dadjo,daj
dakfu,dak
damba,da'a,dab
dandu,dad
danfu,daf
danlu,dal,da'u
danmo,dam
danre,da'e
danti,dan
daplu,plu
dapma,dap
dargu,dag
darlu,dau
darno,da'o,dar
darxi,da'i,dax
dasni,das
daspo,spo
dasri,sri
decti,dec
degji,deg
dejni,dej
dekto,dek
delno,del,de'o
dembi,deb
denci,de'i,den
denmi,dem
denpa,dep,de'a
dertu,der,de'u
derxi,dre
desku,des
detri,det
dicra,dir
dikca,dic
diklo,klo
dikni,dik
dilnu,dil
dimna,dim
dinju,di'u,dij
dinko,di'o
*dinso,dis
*dinti,dit
dirba,dib
dirce,di'e
dirgo,dig
*ditcu,dit
dizlo,diz,dzi
djacu,jau,jac
djedi,dei,dje
djica,dji
djine,jin
djuno,jun,ju'o
do,doi,don
donri,dor,do'i
dotco,do'o,dot
drani,dra
drata,dat
drudi,dru,rud
du,du'o,dub
du'u,dum
dugri,dug
dukse,dus,du'e
dukti,dut
dunda,du'a,dud
dunja,duj
dunku,du'u,duk
dunli,du'i,dun
dunra,dur
*dutso,tso
dzena,dze
dzipo,zi'o,zip
facki,fa'i,fak
fadni,fad
fagri,fag
falnu,fan
fanmo,fa'o,fam
fanza,faz
fapro,pro,fap
farlu,fa'u,fal
farna,fa'a,far
farvi,fav
fasnu,fau
fatci,fac
fatne,fat,fa'e
fatri,fai
febvi,feb
femti,fem
fendi,fed
fengu,fe'u,feg
fenki,fek
fenra,fe'a,fer
fenso,fen,fe'o
fepni,fei,fep
ferti,fre
festi,fes
fetsi,fe'i,fet
figre,fig
filso,fis
finpe,fi'e,fip
finti,fi'i,fin
flalu,fla
flecu,fle
*flese,les
fliba,fli
flira,fir
fo'a,fo'a
fo'e,fo'e
fo'i,fo'i
foldi,foi,flo
fonmo,fom,fo'o
fonxa,fon
forca,fro
fraso,fas
frati,fra
fraxu,fax
frica,fic
friko,fi'o
frili,fil
friti,fit
frumu,fru
fukpi,fu'i,fuk
fulta,flu,ful
funca,fun,fu'a
fusra,fur
fuzme,fuz,fu'e
*ga'ei,gel
gacri,gai
gadri,gad
galfi,ga'i,gaf
galtu,ga'u,gal
ganlo,ga'o
ganra,gan
ganse,gas,ga'e
ganxo,gax
ganzu,gaz
gapci,gac
gapru,gap
garna,gar
gasnu,gau
gasta,gat
genja,gej
gento,ge'o,get
genxu,gex
gerku,ger,ge'u
gerna,gen,ge'a
gidva,gi'a,gid
gigdo,gi'o,gig
ginka,gik
girzu,gri,gir
gismu,gi'u,gim
glare,gla
gleki,gei,gek
gletu,let,gle
glico,gli,gic
gluta,glu
gocti,goc
gotro,got
gradu,rau
grake,gra
grana,ga'a
grasu,ras
*grava,gav
greku,rek
grusi,rus
grute,rut
gubni,gub
gugde,gu'e,gug
*gugle,gul
gundi,gud
gunka,gu'a,gun
gunma,gum
gunro,gur,gu'o
gunta,gut
gurni,gru
guska,guk
gusni,gu'i,gus
gutci,guc
guzme,zme,guz
ja,jav
jadni,ja'i,jad
jai,jax
jalge,jag,ja'e
jamfu,jaf,jma
jamna,jam
janbe,jab
janco,jan
janli,jal
jansu,jas
janta,jat
jarco,ja'o
jarki,jak
jaspu,jap
jatna,ja'a
javni,jva
jbama,bam
jbari,jba
jbena,jbe
jbera,jer
jbini,bi'i,bin
jdari,jar
jdice,jdi
jdima,di'a
jdini,din,di'i
jduli,jdu,dul
je,jve,jev
jecta,je'a,jec
jeftu,jef
jegvo,jeg,je'o
jei,jez
jelca,jel
jemna,jme
jenca,jen
jendu,jed
jenmi,jei,jem
jersi,je'i
jerxo,jex
jesni,jes
jetce,je'e
jetnu,jet,je'u
jgalu,ja'u
jganu,jga
jgari,jai
jgena,jge
jgina,gin
jgira,jgi
jgita,git
jibni,jbi
jibri,jib
jicmu,cmu
jijnu,jij
jikca,jik
jilka,jil
jimca,jic
jimpe,jmi
jimte,jit
*jinda,jid
jinga,jig,ji'a
jinme,jim
jinru,jir
jinsa,jis
jinvi,ji'i,jiv
jinzi,jiz
jipno,jip,ji'o
jitfa,jif
jitro,tro
jivna,jvi
jmaji,jaj
jmina,min
jmive,miv,ji'e
jo,jov
jo'e,jom
jo'u,jo'u
joi,joi,jol
*jonse,jos
jordo,jo'o,jor
jorne,jon,jo'e
ju,juv
jubme,jub,jbu
jufra,ju'a,juf
jukni,juk
jukpa,jup
julne,ju'e
jundi,ju'i,jud
jungo,jug
junla,jul
junri,jur
jurme,jum
jursa,jus
jutsi,jut
juxre,jux
jvinu,vin,ji'u
ka,kam
kagni,kag
kajde,jde
kakne,ka'e
kalri,kar
kalsa,kas
kalte,kat
kampu,kau
kancu,kac
kandi,kad
kanji,kaj
kanla,kal
kanro,ka'o
kansa,kan
kantu,ka'u
kanxe,kax
karbi,kab
katna,ka'a
kavbu,kav
*kazra,kaz
ke,kem
ke'e,ke'e,kep
kecti,ke'i,kec
kei,kez
*kekli,kek
kelci,kei,kel
kelvo,ke'o
kenra,ken
kensa,kes
kerfa,kre
kerlo,ker
ketco,tco,ket
kevna,ke'a,kev
*kibro,kib
kicne,ki'e,kic
kijno,kij
kilto,ki'o
kinli,kil
kisto,kis
klaji,laj
klaku,kak
klama,kla
klani,lai
klesi,kle,lei
klina,kli
kliti,kit
klupe,lu'e,lup
kluza,luz
kobli,ko'i,kob
kojna,koj,ko'a
kolme,ko'e,kol
komcu,kom
konju,kon,ko'u
korbi,koi,kor
korcu,kro
korka,kok
kosta,kos
krasi,kra
krati,ka'i
krefu,ref,ke'u
krici,kri
krinu,rin,ki'u
krixa,ki'a,kix
kruca,kuc
kruji,ruj
kruvi,ruv,kru
ku'a,kuz
kubli,kub
kufra,kuf
kukte,kuk
kulnu,klu
kumfa,kum,ku'a
kunra,kun
kunti,kut
kurfa,kur
kurji,ku'i,kuj
kuspe,kup,ku'e
kusru,kus
lacpu,cpu,lap
lacri,lac
ladru,lad
lafti,laf
lakne,la'e
lakse,lak
lalxu,la'u
lamji,la'i,lam
lanli,lal
lanme,lan
lanxe,lax
lanzu,laz
larcu,lar
lasna,la'a
latmo,la'o
le'e,lem
lebna,le'a,leb
*lelxe,lel
